review,label,Country
Excess is the name of the game,Negative,New Zealand
At least an hour too long.,Negative,Nigeria
I'm with the elephant!,Neutral,Brazil
Overindulgence doesn't make a good movie,Negative,Brazil
Babylon is Destined for Polarizing Feedback but It's a Bumping and Crazy Party for Better or Worse,Neutral,Indonesia
Ambitious film torpedoed by weak and self-indulgent script,Negative,Saudi Arabia
"Over-indulgent, bloated and, ultimately, pointless!",Negative,Brazil
desperately trying too hard,Negative,New Zealand
That did I just watch?,Neutral,Egypt
Decadence,Neutral,Russia
Please Make It Stop!,Negative,Indonesia
Damien's Inferno,Neutral,South Korea
"A scabrous, ambitious, Ken Russell-esque love (and hate) letter to cinema",Neutral,Turkey
"A big, bloated, shapeless mess, filled with lazy caricatures",Negative,Turkey
Sometimes less is more,Neutral,South Africa
An indulgent mess with surprisingly little to say,Negative,South Korea
Margot is all in!,Positive,Indonesia
"Generic shock & awe, no soul",Negative,Indonesia
A cinematic experience,Positive,Turkey
"Uh, NO, not a good movie",Negative,South Africa
Horrible waste,Negative,New Zealand
LOUD NOISES!,Positive,Saudi Arabia
Decadent Decay...,Neutral,Turkey
That was awful.,Negative,Saudi Arabia
I see why it wasn't successful but it's still great,Positive,Russia
Ugh! Total Garbage,Negative,Brazil
"Decadent, Depraved And Tasteless",Negative,Nigeria
"A bunch of random, pointless shenanigans",Negative,Brazil
This isn't a movie. It's visual torture.,Negative,New Zealand
Style over content.,Neutral,Nigeria
Trash,Negative,Egypt
Felt like scrolling through TikTok,Neutral,Brazil
Ambitious but Deeply Flawed,Negative,Turkey
Indeed an epic film; not kidding!!!,Positive,South Africa
"This Film Is a 6. It's a Lush, Vibrant Six. It's 3+ Hours of Seat Time. And In The End, It's a 6.",Positive,Brazil
"Adding up all the good parts, 20 minutes out of the 190 are great",Positive,Brazil
I thought it was great!,Positive,Brazil
Slow.,Neutral,Indonesia
HOLLYWOOD JUNK,Neutral,Nigeria
A Complete Mess of a Film,Negative,South Africa
Damien's Gate,Neutral,Saudi Arabia
Don't waste your time,Neutral,Saudi Arabia
silence is golden,Positive,Nigeria
Pants,Neutral,Russia
Unbelievably terrible,Negative,Indonesia
What A Waste.,Negative,Brazil
"Outstanding, multi-genre mash up with many jaw dropping moments.",Positive,Egypt
"A Forever Party, An Unfading Generation",Neutral,Indonesia
My number 1 movie of 2022,Positive,Egypt
Mess,Neutral,Nigeria
I want my money back!!!,Neutral,Nigeria
A party of a film -- albeit an occasionally repetitive one,Neutral,Russia
